GA-Chromosomes100Generations100Breed0.0Death0.0T1Cost,GA-Chromosomes100Generations100Breed0.125Death0.0T1Cost,GA-Chromosomes100Generations100Breed0.25Death0.0T1Cost,GA-Chromosomes100Generations100Breed0.5Death0.0T1Cost,GA-Chromosomes100Generations100Breed0.75Death0.0T1Cost,GA-Chromosomes100Generations100Breed0.8Death0.0T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.01T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.02T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.03T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.04T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.05T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.0T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.15T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.1T1Cost,GA-Chromosomes100Generations100Breed0.9Death0.2T1Cost,GA-Chromosomes100Generations100Breed1.0Death0.0T1Cost
0.46382895764348014,0.46567441977114904,0.46716713104177016,0.46464751655816094,0.46440924814101847,0.46476146165165827,0.46588811500503974,0.4619689457653731,0.4658557394376159,0.46471226818527395,0.46773793061833424,0.4644875309355398,0.4628295813907003,0.4656468156535208,0.4637744232429329,0.46530379116530646
0.6819058203843589,0.7444047894179392,0.77267699780875,0.7413164482364365,0.7642424286394213,0.7464257007250122,0.7462351946846411,0.742579764794184,0.7330807713479425,0.7492976038311375,0.7341142354229258,0.7605490548041155,0.739281037650683,0.7580684442130735,0.6947698140342553,0.7695341188107301
0.7853049192655915,0.8798053582313049,0.8825229324010423,0.8871089349720179,0.8603458268236767,0.8875157922893429,0.8816144078364424,0.8775102257251722,0.8750401950318261,0.878544926616905,0.8451484489723842,0.8852634352471273,0.851491932457389,0.8650147252515599,0.8476105996726389,0.8948836022805725
0.8677361385037087,0.9228831991079396,0.9268571318590565,0.931957041705192,0.9272799929804284,0.9334188199918846,0.9297509840432944,0.9283417077448839,0.9279653681971979,0.9306356527904911,0.918827630992226,0.9358093240715639,0.9116101695407911,0.9279512775246438,0.9122655681627682,0.9336004867592322
0.9079715729447546,0.9406585744863126,0.9459797284546106,0.9467062854291811,0.9477159266174773,0.9469454807143516,0.9452618451709748,0.9480595551260191,0.9445425489263461,0.9478003441063672,0.9455532933867586,0.9470163091917742,0.9346532880755435,0.9419835972165826,0.9350095839259942,0.9492636370976963
0.9301534529359489,0.9518364934852657,0.9533373717418782,0.9562320071003505,0.95535612336745,0.9561102941442151,0.9537370504766554,0.953975116478373,0.9544864511981137,0.9532748615528757,0.9540089869170224,0.9561298834301273,0.9505943059960319,0.9541482518517083,0.94751840962363,0.9554806773410573
0.9388674876315807,0.957523012931235,0.956977350793619,0.9584944508728082,0.9587971392166172,0.9581414979485042,0.9575017126881951,0.9581826855038751,0.9582291020213709,0.9567196704232227,0.9575516089355512,0.9585349686036653,0.9560198548244193,0.957137914877349,0.9553939163654561,0.9592626023116934
0.9481187699259954,0.9590403503332431,0.9588077036377651,0.959303213522619,0.9598005500833805,0.9596128969338615,0.9594037215783368,0.9599148609369349,0.9599650845683517,0.959476433092713,0.9592848770596771,0.959991329080218,0.9586571883534631,0.9588585289014888,0.9576733071660286,0.9598222352591921
0.9516487522662912,0.9601057652887038,0.959991315064753,0.959917738765838,0.960404573404341,0.9600250278627862,0.9604383582834446,0.9602922641273866,0.960298087436793,0.9602066216492514,0.9601077142435106,0.9604152264874681,0.9596424246294782,0.959763308653047,0.9595331618624022,0.9605996970386129
0.9566247207771247,0.9605536291222769,0.9603996502678149,0.9604616462548299,0.9608096950136011,0.9604570232950709,0.9607126204279001,0.9607078301289007,0.9609074979841531,0.9604184707424637,0.9605659862415676,0.9606397155219707,0.9603862431703348,0.9604199737661234,0.9600856907589598,0.9608086244252054
0.9576370010042552,0.9607274315028093,0.96061317195804,0.9609994292566948,0.9610461085222378,0.9608661000864611,0.9608694128699833,0.96107766079941,0.961003454304233,0.9608733442089277,0.960936411979761,0.9610414411743894,0.9608528083481145,0.9608885513856189,0.9607394017414137,0.9610899024590916
0.9588515336230562,0.9609399127189678,0.9610072772272741,0.9610106167329533,0.9611604092537589,0.9611060357822448,0.9611398667544878,0.9611292359239908,0.9610298712919358,0.9610660456668841,0.9610829253149793,0.9611159873684685,0.9610237795490955,0.9610545169808027,0.9609547013057476,0.9612549009496433
0.9592500571701849,0.9610887945555505,0.9611312929014756,0.9612915130579959,0.9612389949742499,0.9611589485298474,0.9612159761342275,0.9612197743521911,0.9611825383696065,0.9612082591459475,0.9613155780502468,0.9612924770859155,0.9611956885822402,0.9610924438601536,0.9610730387340048,0.9612982331426142
0.9598848347848662,0.9611601192604923,0.9612974107083745,0.9612801478241493,0.9613191157092421,0.9613067139127599,0.9613305461775923,0.9613404687079167,0.9612927635662777,0.9613111930791143,0.9613437229610565,0.9613305874659627,0.9613186699798564,0.9612655734832135,0.9612536466970888,0.9613848925369368
0.9603046663205602,0.9612062848633152,0.9613603193962479,0.9613750007204537,0.9614140644790832,0.9612918179616503,0.9613538018967969,0.9613376158602271,0.9612407698452718,0.9613634932075847,0.9613912118500508,0.9613761348547587,0.9614022546074487,0.9613723059666648,0.9612594016304784,0.9614100563822285
0.9608061801769373,0.9613244949396745,0.9613756417215016,0.961416762864291,0.9614429373601445,0.9614048796286573,0.9613338002062304,0.9613846910576592,0.9613904899779478,0.9613972218627358,0.9614136296281028,0.9613901484549715,0.9613943373849319,0.9613954470002294,0.9613525478870282,0.9614386509932548
0.9608195385288992,0.9613002587169838,0.9614520862660938,0.9614779382769907,0.9614415363605983,0.9614065231129915,0.9613768258554397,0.961443315500942,0.9613643000932097,0.9613981365509148,0.961453601650745,0.9614545629884026,0.961398076559704,0.9614065688685316,0.9613596445875621,0.9614639431899785
0.9609857887163534,0.9613626160726574,0.961459592326843,0.9614646797454917,0.9614725326745169,0.9613748772802396,0.9614415040490544,0.9614610285732004,0.9614053072510949,0.9614648848421264,0.9614826454205151,0.9614820819477635,0.9614598154763566,0.961391907718827,0.9614008552684076,0.9614688872098204
0.96115030506378,0.961422168164637,0.961450262589868,0.961470119613005,0.9614587585742407,0.9614394403810408,0.9614512365214698,0.9614796140939973,0.9614434920918061,0.9614696396700095,0.9614918402512824,0.9614801541295891,0.9614822543676377,0.9614553388184406,0.9614173766611178,0.961490280195371
